startingAirport,destinationAirport,travelDuration,totalTravelDistance
0,1,351.4581257531898,998.0329952998532
0,2,253.9754301477464,662.6247303254854
0,3,409.066390927803,1546.1284886332044
0,4,260.9849856690014,907.0458412306607
0,5,336.5976565617866,973.100300769055
0,6,283.938975190408,828.1171669493817
0,7,208.9251461510159,621.6423414875624
0,8,329.3935960018596,962.9338950727796
0,9,491.6859423785219,2086.6986550084807
0,10,274.0709306003669,869.9462869452099
0,11,314.11592677517575,1146.8223338894088
0,12,717.430823078295,2422.4476637420935
0,13,344.61315504027596,963.9113243515326
0,14,301.43097193049454,872.1970835975002
0,15,583.4795280942517,2480.410744418484
1,0,360.85185714599874,1022.4332770671865
1,2,312.13776984161547,780.9017291156719
1,3,501.5851953630458,1906.9486709316382
1,4,438.1024953540168,1643.1612535523564
1,5,367.14723661485317,764.009967139304
1,6,231.35953146531924,539.2707746742083
1,7,317.1510023431398,683.6657746944169
1,8,128.69259192320823,239.05328149550783
1,9,552.155816624798,2701.1153321026113
1,10,183.88307211650184,400.96287772016706
1,11,367.5327744351164,1303.8854434780487
1,12,787.8478163850813,3024.7393416448685
1,13,265.8004339586366,901.9056249277373
1,14,251.10510241182888,307.86285065058024
1,15,582.5983132711028,2810.698747885795
2,0,258.07312711134665,687.4931778217998
2,1,281.52410781730754,768.9185255528208
2,3,418.3207768045655,1665.8633537745823
2,4,379.08955735414304,1188.5181408314488
2,5,331.592497481382,846.2716780496239
2,6,236.982811661599,739.5284869632645
2,7,204.16252030435155,555.0601104686286
2,8,288.63436805479654,719.3703464799115
2,9,544.9683739454413,2410.6117535227017
2,10,229.17641679672258,653.9951214117184
2,11,336.99202314970756,999.6611510327716
2,12,770.3397156948071,2590.6316981987084
2,13,335.901928937151,958.0190994161401
2,14,314.4803486886601,783.5605313556905
2,15,605.7280220599196,2668.8879737894135
3,0,383.3083624354692,1555.5974374005527
3,1,444.89044093164847,1916.6173737179179
3,2,394.03520208604954,1675.370534738315
3,4,263.0338647342995,999.6193454242235
3,5,416.13057039920693,1566.5993753394894
3,6,407.3512181152454,1826.871335794671
3,7,392.49634412924945,1689.050735834241
3,8,543.9269089994691,1972.2852622441264
3,9,306.4686504293352,1042.640825345888
3,10,385.8888228741181,1783.04583984375
3,11,476.6471961764384,2086.9342963565205
3,12,469.90993182569,1343.0650384472071
3,13,305.2530964650574,1235.222705076984
3,14,463.82371731280506,1856.0733139695126
3,15,337.3434735228385,1168.8480845687957
4,0,261.96844628621335,943.1258494567805
4,1,417.0286904285142,1616.1956884000772
4,2,354.35171898355753,1173.4858685244494
4,3,268.6661135391591,1020.5519946710089
4,5,387.13891109841995,1295.6306390977443
4,6,361.08832696076854,1465.1148418114144
4,7,364.8060449664828,1340.628957655695
4,8,397.4480419822763,1505.4940116032967
4,9,348.85940247953624,1424.1463230767297
4,10,321.46489601194435,1465.3950532334138
4,11,351.70852102608364,1339.4085426464696
4,12,650.3763041182682,1849.6229853045745
4,13,365.3421225575841,1099.0451629509366
4,14,411.12748539758894,1481.1140314062882
4,15,430.7276416625769,1668.8251149304695
5,0,343.5685250487286,979.1357205087994
5,1,327.4528738541648,757.4369459172852
5,2,347.0155270573351,851.5464941255174
5,3,431.64310564484515,1489.4554120458633
5,4,391.74027083079176,1264.0219931925833
5,6,331.880725829072,721.618291501266
5,7,199.85540411406728,593.7749707125757
5,8,370.5685786163522,753.170156407669
5,9,532.3270157159361,2316.153872480669
5,10,245.91129130700148,674.838013608511
5,11,419.2739370396723,1447.0176225991684
5,12,722.5698267824722,2424.441330285285
5,13,169.5747105966162,473.6010377527286
5,14,359.2184839495454,766.8605290688985
5,15,583.5290676416819,2449.3709882111893
6,0,271.3875789915806,824.1849157449335
6,1,181.56501028190644,409.2042285714286
6,2,261.8859639224284,754.9210664067435
6,3,437.32829980927664,1797.3054422487583
6,4,385.6815800018494,1475.9163259000782
6,5,342.30716107758354,730.9810879073492
6,7,321.3040828276376,765.8251770766259
6,9,533.8459417435472,2564.64714810395
6,10,120.95652173913044,185.0
6,11,306.48598299510707,1244.7173524979714
6,12,734.4388002773925,2901.031977891828
6,13,298.54393426079434,801.141403222856
6,14,416.10964121472415,973.8441595383708
6,15,524.9814070968761,2672.148685258964
7,0,208.22752175314213,608.1590872111942
7,1,328.65934622604965,705.9155767662428
7,2,235.0991011578306,571.7975801805262
7,3,438.2508951912304,1697.949138877069
7,4,395.92119361714384,1361.0012702445222
7,5,219.96068882417913,614.9196713829301
7,6,324.7499729173437,755.8757109810858
7,8,419.68339598825565,694.0703988995873
7,9,549.953803005434,2483.7410624310187
7,10,397.5293157606448,794.4508087684586
7,11,430.2422161172161,1194.7810897989748
7,12,804.1940837173331,2827.2428492938175
7,13,353.6871284030458,829.1496313013357
7,14,401.22807706145943,790.1410319571714
7,15,576.9164329436813,2619.461634099339
8,0,324.6255768097087,956.1590206554894
8,1,129.98074212313128,242.3704724802717
8,2,300.95425173087165,715.839814649795
8,3,551.2791261751138,1968.3385071279833
8,4,499.35731060452684,1548.481507852551
8,5,346.69916888013023,709.5633903952206
8,7,403.8296599596942,692.624903697997
8,9,475.8597701591206,2595.339606261997
8,11,261.5192634511274,1169.8089373124901
8,12,675.9562250417025,2861.984860070347
8,13,447.27969931694145,964.2756466927679
8,14,400.2312227730209,690.760480620739
8,15,467.18043816061333,2648.0098199110716
9,0,474.9049633440284,2128.5698983615175
9,1,518.257812908511,2730.349076688322
9,2,523.2027969108746,2397.0417995927833
9,3,317.8889489188181,1115.390925216308
9,4,338.7209371701317,1423.9970826039844
9,5,505.77931078399115,2303.988238977956
9,6,506.5965208469359,2588.34373882389
9,7,523.9508505036151,2488.6390441155822
9,8,462.96315523033735,2673.5904519591063
9,10,562.6713917198799,2652.794983751203
9,11,543.068078548685,2616.8038016030555
9,12,462.5487947577814,1282.639562748252
9,13,430.87526019413224,2008.1118779561655
9,14,553.4304357391818,2580.1450853553456
9,15,154.1120360621216,443.3602798943668
10,0,287.7762731822196,876.2472920353982
10,1,168.6056397129789,357.9698406223185
10,2,259.5770644335892,655.209663356745
10,3,417.2453716209196,1788.0634419216847
10,4,338.7094796812462,1464.59898450991
10,5,263.22478949017005,656.9377444018598
10,7,386.47755687389684,781.8979255763653
10,9,599.4891365501721,2610.1106413785706
10,11,316.3070736471219,1247.2147571134913
10,12,851.9524937150271,2931.228271484375
10,13,233.2443004638965,753.1427249320725
10,14,452.05776276101335,1068.9368087850248
10,15,642.7833937418948,2785.523335560009
11,0,308.61674721334475,1140.451469260014
11,1,352.028971480191,1302.065913116372
11,2,351.9361600840474,1033.5001370942866
11,3,501.150872066478,2051.121326632395
11,4,382.44961171454673,1359.6914768429015
11,5,417.70437356799613,1431.0638927660393
11,6,301.86816972920695,1254.0764118852921
11,7,418.78014951487194,1181.2318623068081
11,8,231.90447938866808,1159.3740830823874
11,9,577.3654930459842,2495.758460702697
11,10,309.133566300446,1265.8363018889925
11,12,817.0777563793933,3010.682767112554
11,13,413.4828561695573,1508.0491571266825
11,14,388.861316872428,1238.4668448083082
11,15,688.5387821021211,3027.2429646383366
12,0,678.0875140553602,2470.936202968163
12,1,760.6716375624582,2994.0840589144764
12,2,755.8028711781146,2688.34523532424
12,3,484.1508844686788,1328.6853952240722
12,4,653.2353328810931,1927.3492419665718
12,5,682.3665259430751,2442.496862822799
12,6,706.5819176084578,2886.103976545402
12,7,699.5043968807036,2790.0736618309156
12,8,640.13802422663,2832.980710064951
12,9,481.4785027819929,1284.120799389002
12,10,825.0272953294264,2988.5211975407647
12,11,810.3889856057068,3120.5937443744374
12,13,595.5012019534907,2177.6817359855336
12,14,757.1679653377128,2843.224380997512
12,15,443.9434393397672,894.4450852965069
13,0,357.52171226241774,980.4193703486914
13,1,228.86774661856234,891.7647316307432
13,2,332.20713856327023,967.8723527611808
13,3,303.75053208025446,1146.0599637462235
13,4,386.4141869912605,1078.0036060919938
13,5,162.77886603972374,402.1993838375859
13,6,253.16294661378384,795.8819844937555
13,7,342.65305587587795,851.3153549952526
13,8,372.83732165489204,932.8500276562579
13,9,441.5737218338979,1990.4402286270217
13,10,202.03809647218893,759.6051017113335
13,11,377.68207981317397,1525.4492694090723
13,12,632.6195674381951,2190.7622844991265
13,14,312.40214099095977,872.9635042283298
13,15,464.54927483683826,2067.443734248877
14,0,311.58272639824105,889.8037146735777
14,1,223.65532367044463,404.5669773635153
14,2,322.30925504063106,776.7951219512195
14,3,473.8527228934537,1807.3602043484382
14,4,429.3499856370616,1480.4127606569477
14,5,367.09964528319387,759.8081968222688
14,6,423.3627583901343,982.080189470936
14,7,355.84413050547386,893.9336076917474
14,8,365.0166195190948,713.5978141300876
14,9,561.7855529340897,2523.5977487193313
14,10,430.15369757904483,1035.8030488616696
14,11,386.71378796948625,1267.9297539683894
14,12,788.5000197433367,2828.712170565591
14,13,328.1049292756108,854.255064737243
14,15,635.2957386168532,2717.5100249533216
15,0,551.9232713003152,2546.5129103954414
15,1,527.6463672031803,2801.8366389672833
15,2,589.6460481561647,2662.08968065595
15,3,354.73702614777056,1222.786264103195
15,4,405.69640920977105,1754.6884176533908
15,5,551.4356259683447,2475.865535347386
15,6,504.9997951119567,2710.98134119381
15,7,539.2718003565062,2633.3847088897232
15,8,420.37222203198303,2656.5809764223036
15,9,149.62492697501293,441.35824172084
15,10,615.1345004316515,2797.8916098830787
15,11,635.8250030287937,3053.7859490606106
15,12,428.56770221102715,852.8570102657854
15,13,445.10804475773335,2082.642491526596
15,14,579.5451517913482,2729.1728991037357
